p_id,age,female,ethnicity,grip,chest,e_anx_1,e_anx_2,e_anx_3,e_anx_4,e_anx_5,e_anx_6,e_anx_7,e_anx_8,e_anx_9,e_anx_10,e_dep_1,e_dep_2,e_dep_3,e_dep_4,e_dep_5,e_dep_6,e_dep_7,e_dep_8,e_dep_9,e_dep_10,e_fear_1,e_fear_2,e_fear_3,e_fear_4,e_fear_5,e_fear_6,e_fear_7,e_fear_8,e_fear_9,e_fear_10,e_sen_1,e_sen_2,e_sen_3,e_sen_4,e_sen_5,e_sen_6,e_sen_7,e_sen_8,e_sen_9,e_sen_10
103,21,0,8,52,31,6,6,6,7,5,1,4,3,6,5,5,5,6,1,3,2,4,6,1,7,2,4,2,2,2,3,6,5,6,5,2,4,2,1,1,6,7,2,6,5
183,20,0,8,34,38,5,3,5,4,4,3,4,4,4,4,4,4,5,3,4,5,5,3,4,4,4,4,3,4,5,4,3,3,5,5,4,4,3,3,4,3,3,4,4,4
177,19,0,1,48,32,5,5,4,2,1,6,6,6,7,5,5,4,5,2,2,4,6,2,5,6,1,2,2,1,2,5,6,5,6,6,3,3,1,4,3,7,2,4,4,4
133,19,0,1,48,30,5,5,3,4,2,3,6,5,4,4,4,5,4,3,3,3,3,3,4,6,3,4,6,3,2,2,5,3,4,4,4,4,2,3,4,7,7,4,3,4
171,18,0,2,40,40,4,4,5,5,3,6,4,6,5,5,5,5,3,3,4,3,4,3,5,5,3,4,3,3,3,4,3,5,4,5,3,3,2,4,3,2,3,4,5,4
167,20,0,8,49,36,4,4,3,5,1,4,4,3,5,4,2,6,5,2,4,3,3,5,5,6,1,2,2,1,1,5,5,4,6,6,5,4,1,7,7,7,6,1,1,4
164,18,0,2,36,40,6,6,7,1,5,1,1,1,6,2,4,5,7,5,5,5,7,1,5,7,5,2,3,2,1,7,6,7,7,7,7,6,5,4,2,2,1,7,3,3
184,19,0,8,38,36,4,6,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
147,19,0,1,58,45,6,5,6,7,5,3,2,4,5,5,3,5,3,1,3,1,6,3,5,7,7,5,6,3,1,4,2,3,6,5,7,7,3,7,6,7,2,1,1,3
157,21,0,1,35,19,7,7,7,5,7,1,2,3,1,4,5,3,3,2,4,3,2,5,1,7,4,3,7,7,7,1,1,1,1,2,2,4,2,6,6,6,3,1,1,2
186,19,0,8,38,26,7,7,6,5,3,1,3,3,5,2,5,5,6,5,3,5,6,6,6,7,4,3,6,4,7,1,3,2,4,5,6,3,1,6,3,6,3,4,3,3
138,19,0,1,40,32,6,4,5,2,4,1,6,2,3,2,7,6,6,4,4,5,5,4,5,7,6,2,5,6,1,1,5,3,5,5,2,2,2,6,4,7,2,2,1,1
109,18,0,2,36,38,6,7,7,6,6,1,3,6,6,1,7,5,7,1,3,1,1,5,7,6,1,5,1,2,5,1,2,3,3,5,7,5,4,7,1,4,7,1,2,2
107,20,0,2,34,18,5,5,6,5,6,3,2,2,2,1,5,5,6,6,5,3,6,5,2,5,4,6,6,5,5,3,2,2,1,4,4,4,5,5,4,1,3,3,2,2
104,19,0,1,53,52,3,4,3,4,1,3,7,5,5,3,1,3,1,1,5,1,1,3,1,3,4,3,3,3,6,3,5,3,5,5,5,6,4,5,5,3,3,1,1,3
110,19,0,1,54,56,3,2,3,2,1,6,6,6,5,6,1,6,2,1,2,4,6,2,2,6,1,1,1,1,1,7,7,6,7,7,5,4,2,5,5,6,3,2,3,5
146,19,0,1,44,42,6,2,2,6,3,5,2,5,5,3,3,4,5,2,1,2,5,1,2,5,3,5,3,2,6,2,5,1,2,3,5,2,5,5,3,3,5,5,2,6
114,19,0,1,40,59,6,5,7,6,3,1,2,1,6,2,5,2,2,4,5,5,5,6,5,2,2,2,1,2,1,6,6,6,7,6,6,5,6,6,6,2,2,1,2,2
