p_id,female,grip,chest,e_anx_1,e_anx_2,e_anx_3,e_anx_4,e_anx_5,e_anx_6,e_anx_7,e_anx_8,e_anx_9,e_anx_10,e_dep_1,e_dep_2,e_dep_3,e_dep_4,e_dep_5,e_dep_6,e_dep_7,e_dep_8,e_dep_9,e_dep_10,e_fear_1,e_fear_2,e_fear_3,e_fear_4,e_fear_5,e_fear_6,e_fear_7,e_fear_8,e_fear_9,e_fear_10,e_sen_1,e_sen_2,e_sen_3,e_sen_4,e_sen_5,e_sen_6,e_sen_7,e_sen_8,e_sen_9,e_sen_10
101,0,40,20,2,1,1,1,1,7,7,7,7,7,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,7,7,7,7,7,1,1,1,4,1,7,7,7,1,7
102,0,38,52,5,6,5,6,5,4,4,5,4,2,6,3,6,3,4,5,6,4,5,6,3,4,2,4,1,3,4,5,5,5,3,4,4,5,2,3,6,4,2,2
103,0,42,46,1,2,2,5,4,1,2,6,6,7,7,5,6,2,5,6,7,5,2,7,1,5,1,2,1,6,6,5,4,7,5,3,5,2,4,3,1,5,3,1
105,0,56,54,1,3,5,3,1,1,4,2,3,5,2,4,3,1,3,3,3,3,2,2,4,4,4,4,4,2,5,3,5,3,2,4,2,4,4,5,3,4,4,2
106,0,37,48,5,7,5,6,5,1,3,3,5,2,5,5,5,5,4,3,6,5,7,7,3,3,3,3,3,5,5,5,5,5,5,3,3,6,5,6,3,4,2,3
107,0,38,36,6,6,6,6,2,2,2,2,4,2,4,6,6,2,2,3,2,3,5,6,3,2,4,3,2,2,4,3,2,6,3,2,1,5,2,7,4,5,2,7
108,0,46,45,1,2,1,2,1,6,7,5,1,4,1,1,3,1,2,2,2,1,6,6,1,2,1,1,1,5,1,5,5,6,6,3,1,5,6,6,7,2,1,6
109,0,41,20,2,3,1,2,1,2,7,3,7,7,6,1,2,2,1,2,7,2,7,4,1,2,7,1,4,4,6,5,3,7,3,5,1,3,7,7,6,6,5,6
110,0,63,77,5,3,1,1,1,6,7,7,7,7,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,6,7,7,7,7,7,2,3,7,2,6,7,2,2,7
111,0,64,34,2,4,3,3,1,6,6,6,7,4,1,7,3,1,2,5,6,2,5,6,1,2,1,6,4,3,6,5,2,5,4,4,6,3,5,3,3,4,4,4
112,0,53,50,6,6,6,6,2,2,2,2,5,1,6,6,5,2,3,6,6,5,3,7,2,3,5,5,1,6,5,6,4,6,5,3,3,5,5,4,3,2,2,2
113,0,52,46,5,6,6,3,5,1,2,3,3,3,5,5,5,5,6,5,5,5,6,6,3,4,5,3,6,3,4,4,3,6,5,3,3,5,5,4,3,2,3,3
115,0,47,62,6,5,3,5,2,5,5,6,5,2,5,5,2,2,4,2,6,4,2,6,6,2,5,2,6,5,6,4,6,6,5,2,2,4,2,6,2,5,2,2
116,0,47,40,7,7,6,7,3,1,3,1,3,5,6,5,7,3,4,7,7,5,5,7,4,5,6,1,2,7,4,7,3,6,6,6,6,6,7,1,1,1,1,1
117,0,52,60,6,6,5,5,2,2,3,5,5,3,5,2,4,3,4,5,5,6,5,5,3,3,2,3,1,3,5,5,4,6,5,4,1,6,6,6,4,2,1,3
118,0,44,23,6,5,6,5,5,3,5,3,3,1,6,4,5,3,3,4,5,3,3,6,3,5,4,5,4,3,3,2,2,3,3,3,3,5,3,5,5,4,4,5
119,0,48,54,3,5,3,3,2,3,4,4,5,4,4,4,2,3,4,3,4,4,4,5,2,2,6,3,3,4,4,4,5,5,5,5,2,4,4,6,5,4,2,4
121,0,44,49,6,2,3,5,1,6,6,4,7,7,6,4,6,2,3,1,1,3,5,6,1,2,3,2,1,6,6,5,7,6,6,5,1,5,6,7,7,2,7,7
122,0,55,69,4,6,4,5,1,1,3,3,5,5,4,4,4,2,3,5,5,4,2,6,1,3,5,1,1,5,4,4,7,6,7,5,3,6,5,4,3,1,1,2
123,0,39,40,4,5,3,4,3,4,4,3,5,2,4,4,5,3,4,4,5,4,3,5,4,4,6,4,5,3,3,3,4,3,4,5,4,5,4,4,4,3,3,2
124,0,42,34,1,3,2,4,1,6,5,4,4,1,2,2,2,2,2,2,2,2,2,5,2,2,6,4,5,6,5,2,3,6,5,2,2,6,4,6,5,2,2,4
125,0,52,32,1,2,6,3,1,6,2,7,7,6,3,2,2,1,2,2,6,2,1,1,2,2,1,6,1,6,6,6,6,7,6,3,1,7,2,2,3,1,1,1
126,0,46,44,5,5,5,3,3,5,3,6,5,5,6,4,6,4,7,5,5,6,4,6,6,4,2,3,4,2,3,4,4,2,4,3,3,6,5,6,5,4,4,6
127,0,40,52,6,7,5,5,4,3,6,1,7,1,5,4,7,4,5,6,7,7,7,5,1,4,3,5,1,4,3,2,5,5,7,7,5,7,7,3,2,1,1,2
128,0,48,38,6,7,3,7,7,1,1,2,3,2,5,4,5,7,7,2,5,6,6,5,2,7,7,5,2,5,3,4,2,6,6,3,4,5,5,3,4,5,2,5
