p_id,age,female,ethnicity,grip,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
272,18,0,1,36.4,4,4,2,2,4,2,4,4,2,4,4,2,2,4,3,4
274,20,0,1,34.24,2,2,4,5,4,2,3,5,5,1,2,5,2,3,5,1
276,18,0,3,38.86,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
278,19,0,2,33.69,4,4,3,3,3,2,3,4,3,5,2,4,2,4,5,2
280,19,0,1,47.53,2,4,2,4,3,3,4,4,3,4,3,4,3,3,3,3
282,19,0,2,34.6,5,3,5,1,3,2,5,2,3,4,3,4,4,4,5,2
284,19,0,1,38.98,2,5,1,2,2,1,5,4,1,2,4,4,2,5,4,2
285,20,1,8,32.47,5,4,2,5,3,2,5,5,3,4,4,5,4,4,2,2
286,20,0,7,48.48,1,4,2,4,4,2,2,3,2,2,2,4,3,4,5,2
287,21,1,7,28.95,5,4,2,4,2,2,4,4,2,2,3,4,1,4,4,3
288,18,0,4,39.31,4,3,2,4,2,1,3,4,3,4,2,4,3,4,4,2
289,19,1,2,15.93,2,1,3,1,3,5,5,4,3,4,2,4,2,1,2,3
290,19,0,1,46.25,2,5,4,3,2,3,1,2,4,5,4,4,3,5,3,4
291,19,1,2,18.89,4,4,4,4,1,2,1,4,5,2,4,5,3,4,2,1
293,19,1,1,27.08,4,2,1,1,5,5,5,4,1,5,5,1,4,5,5,4
295,18,1,6,24.57,4,4,4,4,4,2,4,3,3,3,4,4,2,3,4,3
296,19,0,1,44.48,2,3,2,3,3,3,3,2,3,2,2,3,2,3,2,1
297,18,1,3,15.75,2,4,1,5,1,2,4,4,4,4,2,3,2,5,5,2
298,18,0,4,53.25,4,4,3,4,3,2,3,3,1,4,4,4,2,4,4,2
299,18,1,1,27.58,4,5,4,4,2,1,3,4,4,2,4,4,4,4,2,3
300,18,0,1,36.92,1,3,1,2,5,5,5,5,1,5,2,1,4,3,5,5
301,21,1,7,20.42,4,5,5,2,3,3,2,4,3,2,5,5,1,4,5,4
302,19,0,1,41.02,3,4,3,3,3,3,4,4,3,4,4,4,2,3,2,2
303,19,1,2,22.86,4,4,3,3,2,2,3,3,3,1,4,3,1,4,4,2
304,19,0,1,42.88,3,4,4,3,2,2,2,4,2,2,5,4,2,4,2,2
305,20,1,1,22.75,5,5,4,2,1,1,1,4,5,2,5,4,3,5,2,2
306,19,0,2,33.25,2,4,3,1,3,4,4,4,3,5,3,4,4,3,4,3
307,19,1,4,14.63,4,5,5,5,2,5,2,5,3,2,4,5,2,5,4,2
308,19,0,1,33.13,3,5,3,1,1,5,5,3,1,5,5,5,2,5,2,3
309,19,1,2,19.36,4,5,2,4,3,3,5,3,3,3,2,2,4,4,4,3
310,18,0,1,46.02,2,5,1,1,4,2,4,4,2,2,3,5,2,4,5,4
311,20,1,1,20.84,3,4,4,1,1,1,2,2,3,3,5,4,2,4,2,2
313,19,1,5,21.72,1,4,4,2,2,4,3,4,4,4,4,4,4,4,2,2
314,22,0,5,51.52,2,4,4,3,4,3,3,4,2,4,4,4,4,4,3,4
315,18,1,1,18.4,4,5,5,1,1,1,1,3,2,3,5,5,2,5,2,3
316,19,0,1,54.31,3,4,2,2,4,4,4,4,2,4,2,4,4,4,4,4
317,18,1,1,24.32,2,4,5,3,4,2,3,4,2,1,5,5,2,5,2,2
318,19,0,3,52.15,3,3,3,3,3,4,3,4,2,2,1,4,3,4,4,3
319,18,1,7,22.88,4,5,5,5,1,1,2,4,4,2,5,5,3,5,2,1
320,18,0,8,39.39,4,3,2,2,2,4,4,4,2,4,4,4,4,4,3,3
321,24,1,2,25.51,4,5,5,5,1,2,2,4,5,5,4,5,1,5,3,1
322,19,0,2,43.7,1,3,2,2,5,5,4,4,2,4,4,2,4,4,3,3
323,20,1,7,33.64,4,3,3,2,2,2,2,2,3,4,3,3,3,4,4,3
324,19,0,1,43.91,4,5,3,3,3,2,4,4,2,1,3,5,2,5,5,3
