p_id,age,female,ethnicity,grip,chest,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
EXCL333,23,0,2,34,18,1,3,3,1,1,1,3,1,4,1,3,3,3,3,4,1
EXCL364,19,0,4,30,14,4,4,2,1,3,2,4,5,3,4,1,5,4,3,5,3
PLH001,18,1,5,20,16,4,5,4,5,4,2,2,5,1,2,4,5,2,4,1,1
PLH002,19,0,7,38,72,2,1,2,3,4,5,4,4,2,5,2,3,4,2,4,4
PLH003,19,0,5,39,31,3,2,4,2,2,3,4,3,2,1,4,4,4,4,2,3
PLH004,19,1,2,24,22,2,4,4,4,3,2,4,4,2,1,4,4,4,4,3,2
PLH005,19,0,1,42,39,4,5,4,2,4,1,4,4,4,1,4,4,1,4,2,3
PLH006,20,1,5,10,12,4,5,5,5,1,1,2,5,4,3,5,5,1,4,1,1
PLH007,19,1,5,23,17,2,1,3,4,4,5,4,3,2,5,4,4,4,4,4,2
PLH008,21,1,7,16,11,2,4,4,4,1,4,2,3,4,2,4,5,3,4,2,3
PLH009,19,0,5,59,60,4,4,3,3,2,2,3,4,3,4,4,4,3,4,2,3
PLH010,19,1,5,27,20,2,4,4,4,4,2,2,4,2,2,5,5,2,4,2,2
PLH011,19,1,5,28,24,2,4,2,2,2,4,4,4,2,2,4,4,2,4,2,2
PLH012,18,1,6,24,14,4,4,4,4,2,1,2,4,4,2,4,4,2,4,2,2
PLH013,19,0,5,35,50,2,1,3,1,4,1,3,4,1,5,4,4,4,1,4,3
PLH014,18,1,7,17,15,4,4,5,3,3,2,3,4,3,5,3,4,2,5,5,2
PLH015,18,0,4,60,46,4,5,5,1,4,3,4,1,2,4,5,4,4,4,2,5
PLH016,18,1,5,22,14,2,3,1,1,4,4,4,3,1,4,4,4,2,3,3,4
PLH017,18,1,2,17,7,5,5,5,4,1,1,2,5,4,1,5,5,4,5,1,2
PLH018,18,1,5,17,14,3,5,5,5,1,3,2,5,5,5,5,5,2,5,1,4
PLH019,19,1,5,25,26,1,5,3,5,5,2,5,5,1,1,5,5,5,3,3,1
PLH020,18,1,5,20,18,2,2,3,3,2,3,2,2,2,4,3,3,2,2,3,3
PLH021,18,0,7,40,30,2,2,2,3,3,5,5,2,2,5,1,3,4,3,5,3
PLH022,18,1,6,16,18,5,4,4,4,4,2,4,4,3,2,4,4,2,5,4,3
PLH023,18,1,5,24,12,4,4,4,4,4,2,2,4,2,3,4,3,2,4,3,4
PLH024,18,1,5,27,25,3,2,2,2,3,3,5,3,3,4,1,4,4,4,4,3
PLH025,18,1,6,15,11,3,4,2,5,2,2,4,4,2,5,4,4,2,5,2,2
PLH026,18,1,7,32,4,4,4,4,2,1,4,1,4,5,5,4,4,1,5,5,5
PLH027,21,1,5,14,10,2,2,2,5,2,2,2,5,2,2,4,5,2,4,2,1
PLH028,18,1,5,16,14,2,5,2,4,2,2,5,3,2,3,2,4,2,4,4,4
PLH029,18,0,5,60,50,1,3,2,1,3,4,4,3,2,2,2,3,2,3,3,2
PLH030,21,1,5,20,9,4,4,2,3,2,2,3,3,5,2,4,4,4,5,2,2
PLH031,18,1,4,32,22,4,4,4,2,3,2,4,3,4,3,4,5,1,4,2,2
PLH032,20,0,1,47.5,60.5,2,4,3,2,4,4,3,3,2,2,3,4,4,2,5,2
PLH033,18,1,5,25,30,2,4,4,2,4,4,3,4,4,3,3,3,4,4,4,5
PLH034,18,1,5,20,20,2,1,3,5,5,1,3,5,2,5,4,5,4,3,1,1
PLH035,18,1,5,20,17,4,4,2,4,2,2,5,4,2,5,4,5,2,5,2,2
PLH036,19,1,5,14,12,5,5,4,3,2,1,3,5,5,2,5,5,1,5,2,1
PLH037,21,1,2,11,6,2,3,3,2,3,3,4,3,3,2,2,3,3,4,5,2
PLH038,19,1,5,18,16,5,5,5,5,1,1,1,5,5,1,5,5,1,5,1,3
PLH039,19,1,5,22,21,1,5,3,1,4,1,4,4,2,3,4,2,2,5,2,5
PLH040,18,1,5,17,8,5,5,4,4,2,1,1,4,2,5,2,5,1,5,2,1
PLH041,20,0,5,36,50,1,2,2,2,4,2,5,2,2,5,4,2,4,3,3,2
PLH042,19,0,5,44,48,3,2,2,2,5,3,4,4,2,2,3,3,4,4,2,3
PLH043,19,1,6,22,12,4,4,4,5,1,2,2,4,4,4,4,5,2,3,2,2
PLH044,19,1,5,25,20,1,4,4,2,2,2,4,4,4,1,4,5,4,4,5,4
PLH045,30,0,5,52,70,1,4,2,2,5,4,5,4,3,2,4,3,5,4,4,5
PLH046,18,0,5,51,68,1,1,1,2,5,5,5,3,1,5,1,2,5,2,5,3
PLH047,20,1,5,26,13,2,5,4,1,5,1,1,5,5,3,5,5,1,5,1,1
PLH048,19,1,5,24,18,5,4,4,1,3,4,5,5,2,4,4,4,2,4,4,4
PLH049,18,0,5,32,40,3,4,2,3,4,4,5,2,2,2,4,2,2,4,2,2
PLH050,22,0,2,28,18,5,3,1,4,1,1,1,4,4,5,5,3,3,4,1,3
PLH051,18,1,5,32,31,4,4,4,4,4,3,2,3,2,2,3,4,2,4,4,3
PLH052,19,1,5,18,11,4,3,2,2,2,4,4,4,2,4,3,4,2,4,3,2
PLH053,19,1,5,21,19,4,4,5,4,1,2,4,5,5,1,4,5,1,5,2,1
PLH055,18,0,7,35,23,5,4,4,2,4,2,3,3,2,4,3,3,4,4,2,3
PLH056,19,0,5,30,22,5,4,5,1,4,2,4,4,4,5,4,5,5,4,2,4
PLH057,20,1,5,23,15,1,3,4,2,4,3,4,2,1,5,4,5,3,4,2,4
PLH058,19,1,5,22,18,2,5,1,3,3,3,5,4,4,1,4,5,3,4,5,4
PLH059,21,1,6,16,10,2,4,4,2,4,2,3,2,2,1,4,4,4,4,2,2
PLH060,18,1,5,22,11,2,3,2,4,2,3,5,4,2,4,2,4,4,4,4,1
