p_id,female,age,grip,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
1,1,18,29.32,3,5,5,5,3,5,4,5,4,2,5,5,5,5,5,5
2,1,21,23.55,4,4,4,5,4,4,2,3,5,4,2,3,2,4,1,3
3,1,18,31.18,5,2,5,2,2,1,1,4,2,1,4,4,3,5,4,2
4,1,19,23.91,2,4,4,2,2,4,1,4,2,5,3,5,4,4,1,2
5,0,19,39.09,2,4,2,2,2,3,3,2,3,4,4,4,1,4,4,3
6,1,19,30.45,2,4,4,2,2,4,2,4,2,2,4,4,4,4,4,4
7,0,21,29.91,1,5,4,4,4,5,3,4,5,5,5,5,3,5,4,3
8,1,22,20.23,3,3,3,4,3,4,3,3,3,3,4,3,3,3,4,4
9,1,23,22.95,5,4,5,3,5,3,2,3,5,4,4,5,4,4,4,3
10,0,18,24.77,2,2,2,1,2,1,1,3,1,1,4,4,2,4,4,4
11,1,18,15.91,5,4,4,4,5,4,2,5,4,3,4,4,5,5,4,1
12,1,19,16.64,2,5,3,3,1,4,2,4,4,2,4,5,2,5,4,4
13,1,19,20.41,5,4,4,4,5,4,4,4,4,2,5,5,5,5,5,5
14,1,20,23.73,2,4,4,2,2,4,4,2,3,3,4,5,4,5,4,4
15,1,18,16.86,2,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
16,1,20,23.41,2,5,5,5,4,4,5,5,3,5,5,4,3,4,4,5
17,0,NA,28.77,5,4,2,4,4,2,2,5,4,4,3,5,2,5,1,1
19,0,19,37.36,4,4,4,2,5,3,4,3,4,2,4,3,3,5,4,2
20,1,19,35.23,4,4,2,2,3,3,2,2,3,4,2,2,2,5,1,2
21,1,19,30.41,2,5,5,5,2,5,1,3,2,2,2,5,4,5,1,5
22,0,20,38.59,2,4,2,1,2,4,1,1,1,4,4,5,1,5,4,2
23,0,18,45.23,4,4,3,2,2,4,2,4,3,4,2,4,4,4,1,4
24,1,19,23.82,4,4,3,2,3,4,1,4,4,4,1,4,2,4,1,1
25,1,19,27.36,4,4,3,1,2,4,4,5,2,2,1,5,3,4,2,2
26,0,20,51.95,4,4,3,3,4,4,2,5,2,3,3,4,3,4,3,2
27,1,18,21.59,5,5,5,5,5,5,4,5,5,5,5,5,2,5,5,2
28,1,20,25.86,3,5,2,3,1,5,1,4,3,5,2,4,4,5,2,4
29,0,20,44.64,3,5,4,2,2,4,3,3,2,4,4,4,2,5,4,4
30,1,20,31.64,2,4,3,4,2,4,4,5,4,3,2,3,5,4,3,3
31,0,20,15.68,5,5,1,3,2,3,1,3,4,2,5,5,3,5,3,3
32,1,19,7.82,4,4,4,3,3,5,3,4,5,4,5,5,4,5,4,3
33,1,18,11.02,4,4,4,5,2,4,5,5,3,4,4,5,5,5,4,5
34,1,NA,16.14,5,4,5,4,3,3,5,4,4,3,5,5,5,4,5,5
35,1,19,22.68,2,4,3,4,2,4,3,5,3,4,3,5,4,5,3,5
36,0,22,40.91,4,3,4,2,2,3,2,4,4,1,5,5,4,5,5,2
37,1,18,17.27,4,4,4,5,2,4,5,3,3,1,5,4,5,4,5,5
38,1,19,22.95,3,4,1,1,1,4,1,1,4,1,1,5,4,5,1,1
39,1,19,22.27,2,3,3,4,2,2,1,2,4,2,3,5,1,5,4,5
40,0,19,61.59,4,2,2,2,2,1,2,4,3,2,4,4,1,3,4,4
41,1,21,23.18,2,5,4,4,4,4,4,4,5,5,4,4,3,4,2,3
42,1,19,22.05,4,5,3,3,4,4,3,4,4,5,4,4,3,4,4,3
43,0,20,34.32,2,4,4,4,2,2,2,4,4,2,4,5,2,4,4,4
44,1,19,18.64,4,5,4,4,3,5,1,4,2,3,3,4,4,5,3,5
45,0,18,25.59,4,4,4,4,3,3,2,4,4,3,4,4,4,4,2,4
46,0,23,41.27,3,2,3,5,3,2,2,5,3,2,2,4,3,3,3,4
47,0,19,38.32,4,2,4,2,3,4,2,4,2,2,4,4,2,4,4,4
48,1,21,21.82,2,3,3,3,5,3,3,4,3,3,2,3,4,5,3,3
49,1,20,21.59,2,2,4,2,4,2,2,3,4,1,4,5,3,4,4,2
50,0,20,54.09,2,1,2,2,1,1,2,4,1,2,4,4,1,2,4,4
51,0,19,25.73,4,4,2,4,4,3,2,4,4,3,4,5,4,5,1,5
52,0,19,34.73,4,4,4,4,4,2,4,4,4,2,4,4,4,4,2,4
53,1,18,24.36,3,5,4,1,4,5,3,3,3,5,4,5,4,4,2,5
54,1,19,15.95,4,5,2,5,4,5,2,4,4,5,3,4,4,5,3,2
55,0,22,44.36,2,4,5,4,4,4,2,4,2,4,4,4,1,4,4,5
56,1,22,18.32,4,5,4,4,4,4,2,4,5,2,4,4,4,4,4,4
57,0,21,21.02,2,4,2,1,2,1,2,4,2,2,4,5,2,4,2,4
58,0,21,15.16,2,4,2,2,4,3,2,3,4,2,2,4,3,2,2,2
60,1,19,7.66,2,4,4,2,2,2,4,4,4,4,2,4,2,4,2,2
61,1,19,17.55,4,5,5,5,3,5,5,5,4,5,3,4,5,5,3,4
62,1,19,20.55,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
63,0,19,31.36,2,5,1,2,2,5,1,2,2,4,2,2,2,2,1,1
64,1,20,22.05,4,4,4,4,5,4,4,4,4,1,5,5,4,5,4,5
65,1,18,24.55,5,5,4,5,5,4,5,5,5,4,5,5,5,5,4,5
66,1,19,25.55,4,4,2,5,3,4,1,4,4,5,3,2,5,4,2,4
67,1,19,25.82,4,5,2,3,4,3,2,5,4,2,2,5,3,5,1,2
68,1,18,6.82,3,4,2,4,2,4,1,5,2,4,4,5,3,4,5,4
69,1,19,34.05,4,4,2,3,3,3,2,3,3,3,4,4,3,4,4,4
70,1,18,9.82,1,5,2,5,1,4,2,3,3,2,4,4,3,5,4,5
71,0,18,20.82,4,4,4,4,2,4,4,4,4,4,5,5,4,5,2,2
72,0,20,59.82,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3
73,0,19,36.82,2,2,3,2,3,2,2,3,3,3,2,4,2,4,1,4
74,1,21,12.32,3,4,4,3,2,3,2,4,3,3,4,4,3,4,3,3
75,1,19,15.91,4,2,2,4,3,1,2,4,4,2,4,5,2,4,4,4
76,1,19,30,4,5,5,4,1,4,4,4,2,4,4,3,4,3,1,2
77,0,19,38.86,2,3,2,2,2,2,2,4,2,2,4,2,3,5,2,2
78,0,20,32.16,1,4,5,1,2,3,3,1,1,2,1,5,2,1,5,3
79,0,21,12.57,2,4,2,2,4,3,2,3,4,2,2,3,2,4,2,2
